Product Code,Name,Sku Id,Quantity
ROSE-GGNM-FRL-KDB-5PC,Rosewood Gingham Checks & Frills Bedding Set - with 2 Filled Cushions,ROSE-GGNM-FRL-KDB-5PC,10
BOW_CLOUD_COMFORTERSET_4PC,Cloud Cotton Premium King Size Frills Bedding Set - with Comforter,101CS,9
AH-EARTH-GGNM-FRL-KDB-5PC,Vintage Earth Gingham Checks & Frills Bedding Set - with 2 cushions,101BC,6
YLW-DAISY-QDH-QDB,Sunny Daisy Floral Reversible Quilted Dohar- with Wave Quilting Pattern,101QD,6
TLS-MP-PW-DBF,100% Waterproof Mattress Cover - Pearl White,103MP,9
KD-RR-BLELE-KDB,Blue Elephant Tree of Life Cotton Bedsheet Set – Handcrafted Indian Art Print,110BS,10
AH_ESPRESSO_STRIPES_KDB,Espresso Brown Stripes 300 TC  Pure Cotton Bedsheet Set,113BS,4
MULTI-RJP-KDB,Pure Cotton Rajwada Patchwork Print King Size Bedsheet,101BS,3
KD-IK-AQUA-KDB,Aqua Blue Ikat Pure Cotton Bedsheet Set,104BS,8
TLS-MP-CB-DBF,Mattress Cover | Protector | 100% Waterproof | Coffee Brown,104MP,2
KD-RR-YLELE-KDB,Yellow Elephant Tree of Life Cotton Bedsheet Set – Handcrafted Indian Art Print,108BS,6
KD-SK-YLW-3PC-KING-DAISY,Sunny Daisy Yellow Bedsheet set- with pillow covers,KD-SK-YLW-3PC-KING-DAISY,2
Sitting-Girls-Gold,Antique Gold Thinker Girl Figurine | Set of 3 | Home Decor,Sitting-Girls-Gold_3pc,6
AH-BLUEBLSM-KDCH-SK,Blue Blossom Checks Pure Cotton Bedsheet - Super King Size,109BS,5
KD-RJ-BLUELOTUS-KDB,Serene Blue (Lotus) Pure Cotton King Size Bedsheet Set,144BS,5
KD-MDB-MARIGOLD-SK,Marigold Bloom Pure Cotton Super King size Bedsheet Set,105BS,14
IK-RYLBLUE-KDB,Royal Blue Ikat Pure Cotton Bedsheet Set,141BS,4
PINK-AQUA-HB-KDB,Pastel Pink & Aqua Handblock Print Pure cotton Bedsheet Eet,106BS,7
AH-BLUEHEART-CS-QDB,Midnight Hearts Reversible Comforter Set,102CS,6
TLS-STRP-MGREY-DWB,"Cotton Stripes Diwan Bedsheet Set (5 cushion covers, 2 bolster covers & 1 Diwan Bedsheet)",102DS,9
TLS-STRP-SILVER-DWB,"Cotton Striped Pattern Diwan Bedsheet Set (1 Diwan bedsheet, 5 cushion covers & 2 bolster covers)",101DS,6
AH-BAGH-NEEL-JSS-KDB,Bagh-e-Neel Pure Cotton Stripes Bedsheet Set - with 2 Pillow Covers,148BS,8
TLS-MP-DG-DBF,Mattress Cover | Protector | 100% Waterproof | Dark Grey,TLS-MP-DG-DBF,6
TLS-BOHO-MULTIZIGZAG-CC-2PC,Bohemian Tufted Cotton Cushion Covers (Pack of 2) – 16x16 Inches,105CC,10
TLS-BOHO-YELLOWWHITE-CC-2PC,Bohemian Tufted Cotton Cushion Covers (Pack of 2) – 16x16 Inches,102CC,8
TLS-BOHO-BLUEWHITE-CC-2PC,Bohemian Tufted Cotton Cushion Covers (Pack of 2) – 16x16 Inches,103CC,9
TLS-BOHO-SUNFLOWER-CC-2PC,Bohemian Tufted Cotton Cushion Covers (Pack of 2) – 16x16 Inches,101CC,4
OCEANBLUE-STRIPES-KDB,Coastal Blue Stripes 300 TC Pure Cotton King Size Bedsheet Set,114BS,2
ORANGE-STRIPES-KDB,Sunset Stripes 300 TC Pure Cotton King Size Bedsheet Set,112BS,10
KD-RR-SOFTPNK-KDB,Soft Pink Floral Cotton Bedsheet Set,147BS,10
AH-PURPLE-LEAF-CS-4PC,Ash Purple Leaf Pure Cotton Comforter Bedding Set,102CS,10
AH-APR-DNM-WP,Waterproof Denim Kitchen Apron with Pocket |  Stylish Kitchen Apron,101KE,7
TLS-STRP-MAROON-DWB,"Cotton Stripes Pattern Diwan Bedsheet Set (with 5 cushion covers, 2 bolster covers &  1 Diwan Bedsheet)",103DS,9
TLS-STRP-BROWN-DWB,"Cotton Strips Pattern Diwan Bedsheet Set (with 5 cushion covers, 2 bolster covers & 1 Diwan Bedsheet)",TLS-STRP-BROWN-DWB,10
BLU_GRN_STRIPES,Blue Bay Stripes 300 TC Pure Cotton Bedsheet Set,115BS,8
KD-MDB-WORLI-SK,Blue Worli Print Pure Cotton - Super King Size Bedsheet Set,146BS,9
AH-PINK-DUAL-SKDB,Pink Candy Dual-Tone Gradient Bedsheet Set- 400TC,145BS,6
Pink_Stripes_Linen_Bedsheet,Gulmohar Lane Linen Blend Bedsheet Set- with 2 Large Pillow covers,GLL_PINKLINEN_SKDB,10
